KM,bookcallnum,title,author,year,month,page,specattr,sprocess,specpath,fullspecpath,localpath,hue,saturation,brightness,cluster,title_c,author_c,year_c,specattr_c,sprocess_c,cluster_c
125,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1882,January,1a,None,Collotype,specimens_resized/125_S.JPG,specimens_resized_panel/125_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/125_S.JPG,50.0,0.10740524126698213,0.5927762540201266,11,5,5,7,0,1,0
126,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1882,April,97a,None,Collotype,specimens_resized/126_S.JPG,specimens_resized_panel/126_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/126_S.JPG,66.0,0.09372058460921437,0.5646500041778075,11,5,5,7,0,1,0
127,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1882,May ,129a,None,Collotype,specimens_resized/127_S.JPG,specimens_resized_panel/127_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/127_S.JPG,57.0,0.11888969504915026,0.555778974089636,11,5,5,7,0,1,0
128,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1882,August,225a,None,Collotype,specimens_resized/128_S.JPG,specimens_resized_panel/128_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/128_S.JPG,66.0,0.10812388332512578,0.6058190245371893,11,5,5,7,0,1,0
129,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1882,October,321a,None,Collotype,specimens_resized/129_S.JPG,specimens_resized_panel/129_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/129_S.JPG,38.0,0.1484102080975977,0.5597625931883171,11,5,5,7,0,1,0
130,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1882,December,385a,F. Edsall ,Albumen silver print,specimens_resized/130_S.JPG,specimens_resized_panel/130_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/130_S.JPG,23.0,0.07579668373924818,0.5466776879446469,0,5,5,7,7,0,7
131,TR 1. A6,Anthony's Photographic Journal,E. & H.T. Anthony & Co.,1897,July,199a,Automatic Photograph Co. ,Gelatin silver DOP,specimens_resized/131_S.JPG,specimens_resized_panel/131_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/131_S.JPG,30.0,0.08017397792811168,0.6016294227188083,6,5,5,7,7,3,3
156,TR1. A8,Atelier des Photographen,Unnamed ,1895,None,1a,"Meisenbach, Riffarth & Co.",Collotype,specimens_resized/156_S.JPG,specimens_resized_panel/156_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/156_S.JPG,41.0,0.047711729184593835,0.5765315468971093,7,7,4,4,7,1,1
157,TR1. A8,Atelier des Photographen,Unnamed ,1895,None,34b,Erwin Raupp,Albumen silver print,specimens_resized/157_S.JPG,specimens_resized_panel/157_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/157_S.JPG,44.0,0.10720783283503714,0.4748209387381895,10,7,4,4,7,0,7
158,TR1. A8,Atelier des Photographen,Unnamed ,1895,None,56b,Neue Photographie Gescellschaft,Gelatin silver DOP,specimens_resized/158_S.JPG,specimens_resized_panel/158_S.JPG,/Users/damoncrockett/photomanuals/src/assets/json/specimens_resized/158_S.JPG,16.0,0.16534248392302991,0.5307060866013072,0,7,4,4,7,3,7
