KM,bookcallnum,title,author,year,month,page,specattr,sprocess,specpath,fullspecpath
826,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1887,July,417a,Photogravure Co.,Collotype,specimens_resized/826_S.JPG,specimens_resized_panel/826_S.JPG
827,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1887,August,449a,Roberts & Fellows,Albumen silver print,specimens_resized/827_S.JPG,specimens_resized_panel/827_S.JPG
828,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1887,August,481a,Photogravure Co.,Photogravure,specimens_resized/828_S.JPG,specimens_resized_panel/828_S.JPG
829,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1887,September,513a,Roberts & Fellows,Albumen silver print,specimens_resized/829_S.JPG,specimens_resized_panel/829_S.JPG
830,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1887,October,577a,None,Albumen silver print,specimens_resized/830_S.JPG,specimens_resized_panel/830_S.JPG
831,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1887,October,609a,F. Gutekunst,Collotype,specimens_resized/831_S.JPG,specimens_resized_panel/831_S.JPG
832,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1887,November,641a,Roberts & Fellows,Albumen silver print,specimens_resized/832_S.JPG,specimens_resized_panel/832_S.JPG
833,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1887,December,705a,Roberts & Fellows,Albumen silver print,specimens_resized/833_S.JPG,specimens_resized_panel/833_S.JPG
834,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1887,December,737a,F. Gutekunst,Collotype,specimens_resized/834_S.JPG,specimens_resized_panel/834_S.JPG
835,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1888,January,31a,F. Gutekunst,Collotype,specimens_resized/835_S.JPG,specimens_resized_panel/835_S.JPG
836,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1888,February,65a,Roberts & Fellows,Albumen silver print,specimens_resized/836_S.JPG,specimens_resized_panel/836_S.JPG
837,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1888,February,97a,F. Gutekunst,Collotype,specimens_resized/837_S.JPG,specimens_resized_panel/837_S.JPG
838,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1888,March,129a,Roberts & Fellows,Albumen silver print,specimens_resized/838_S.JPG,specimens_resized_panel/838_S.JPG
839,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1888,April,193a,Roberts & Fellows,Albumen silver print,specimens_resized/839_S.JPG,specimens_resized_panel/839_S.JPG
840,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1888,April,225a,F. Gutekunst,Collotype,specimens_resized/840_S.JPG,specimens_resized_panel/840_S.JPG
841,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1888,May,257a,Roberts & Fellows,Albumen silver print,specimens_resized/841_S.JPG,specimens_resized_panel/841_S.JPG
842,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1888,June,321a,Roberts & Fellows,Albumen silver print,specimens_resized/842_S.JPG,specimens_resized_panel/842_S.JPG
843,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1888,June,343a,Boston Photogravure Co.,Photogravure,specimens_resized/843_S.JPG,specimens_resized_panel/843_S.JPG
844,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1888,July,385a,Roberts & Fellows,Albumen silver print,specimens_resized/844_S.JPG,specimens_resized_panel/844_S.JPG
845,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1888,July,417a,Photogravure Co.,Photogravure,specimens_resized/845_S.JPG,specimens_resized_panel/845_S.JPG
846,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1888,August,449a,Roberts & Fellows,Albumen silver print,specimens_resized/846_S.JPG,specimens_resized_panel/846_S.JPG
847,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1888,September,513a,Roberts & Fellows,Collodion POP,specimens_resized/847_S.JPG,specimens_resized_panel/847_S.JPG
848,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1888,September,545a,F. Gutekunst,Collotype,specimens_resized/848_S.JPG,specimens_resized_panel/848_S.JPG
849,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1888,October,577a,Roberts & Fellows,Albumen silver print,specimens_resized/849_S.JPG,specimens_resized_panel/849_S.JPG
850,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1888,October,609a,Roberts & Fellows,Gelatin silver DOP,specimens_resized/850_S.JPG,specimens_resized_panel/850_S.JPG
851,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1888,November,673a,Photogravure Co.,Collotype,specimens_resized/851_S.JPG,specimens_resized_panel/851_S.JPG
852,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1888,December,705a,Roberts & Fellows,Albumen silver print,specimens_resized/852_S.JPG,specimens_resized_panel/852_S.JPG
853,TR 1. W7,Philadelphia Photographer,Edward L. Wilson,1888,December,737a,Photogravure Co.,Collotype,specimens_resized/853_S.JPG,specimens_resized_panel/853_S.JPG
854,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1889,January,1a,Roberts & Fellows,Albumen silver print,specimens_resized/854_S.JPG,specimens_resized_panel/854_S.JPG
855,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1889,January,33a,Photogravure Co.,Photogravure,specimens_resized/855_S.JPG,specimens_resized_panel/855_S.JPG
856,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1889,February,65a,Roberts & Fellows,Albumen silver print,specimens_resized/856_S.JPG,specimens_resized_panel/856_S.JPG
857,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1889,February,97a,Photogravure Co.,Photogravure,specimens_resized/857_S.JPG,specimens_resized_panel/857_S.JPG
858,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1889,March,129a,Roberts & Fellows,Albumen silver print,specimens_resized/858_S.JPG,specimens_resized_panel/858_S.JPG
859,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1889,March,161a,Photogravure Co.,Photogravure,specimens_resized/859_S.JPG,specimens_resized_panel/859_S.JPG
860,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1889,April,194a,Roberts & Fellows,Albumen silver print,specimens_resized/860_S.JPG,specimens_resized_panel/860_S.JPG
861,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1889,April,225a,Photogravure Co.,Photogravure,specimens_resized/861_S.JPG,specimens_resized_panel/861_S.JPG
862,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1889,May,289a,Albertype Co.,Collotype,specimens_resized/862_S.JPG,specimens_resized_panel/862_S.JPG
863,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1889,June,321a,Roberts & Fellows,Albumen silver print,specimens_resized/863_S.JPG,specimens_resized_panel/863_S.JPG
864,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1889,June,353a,Photogravure Co.,Photogravure,specimens_resized/864_S.JPG,specimens_resized_panel/864_S.JPG
865,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1889,July,385a,Roberts & Fellows,Albumen silver print,specimens_resized/865_S.JPG,specimens_resized_panel/865_S.JPG
866,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1889,August,449a,Roberts & Fellows,Albumen silver print,specimens_resized/866_S.JPG,specimens_resized_panel/866_S.JPG
867,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1889,August,481a,F. Gutekunst,Collotype,specimens_resized/867_S.JPG,specimens_resized_panel/867_S.JPG
868,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1889,September,513a,Roberts & Fellows,Albumen silver print,specimens_resized/868_S.JPG,specimens_resized_panel/868_S.JPG
869,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1889,September,545a,Albertype Co.,Collotype,specimens_resized/869_S.JPG,specimens_resized_panel/869_S.JPG
870,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1889,October,609a,F. Gutekunst,Collotype,specimens_resized/870_S.JPG,specimens_resized_panel/870_S.JPG
871,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1889,November,641a,Roberts & Fellows,Albumen silver print,specimens_resized/871_S.JPG,specimens_resized_panel/871_S.JPG
872,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1889,December,705a,None,Albumen silver print,specimens_resized/872_S.JPG,specimens_resized_panel/872_S.JPG
873,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1889,December,737a,F. Gutekunst,Collotype,specimens_resized/873_S.JPG,specimens_resized_panel/873_S.JPG
874,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1890,July,385a,None,Albumen silver print,specimens_resized/874_S.JPG,specimens_resized_panel/874_S.JPG
875,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1890,August,449a,Roberts & Fellows,Albumen silver print,specimens_resized/875_S.JPG,specimens_resized_panel/875_S.JPG
876,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1890,August,480b,J. Brunner,Collotype,specimens_resized/876_S.JPG,specimens_resized_panel/876_S.JPG
877,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1890,August,481a,F. Gutekunst,Collotype,specimens_resized/877_S.JPG,specimens_resized_panel/877_S.JPG
878,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1890,September,545a,F. Gutekunst,Collotype,specimens_resized/878_S.JPG,specimens_resized_panel/878_S.JPG
879,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1890,October,577a,Roberts & Fellows,Albumen silver print,specimens_resized/879_S.JPG,specimens_resized_panel/879_S.JPG
880,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1890,October,609a,F. Gutekunst,Collotype,specimens_resized/880_S.JPG,specimens_resized_panel/880_S.JPG
881,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1890,November,673a,F. Gutekunst,Collotype,specimens_resized/881_S.JPG,specimens_resized_panel/881_S.JPG
882,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1890,December,705a,Roberts & Fellows,Albumen silver print,specimens_resized/882_S.JPG,specimens_resized_panel/882_S.JPG
883,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1891,January,1a,Roberts & Fellows,Albumen silver print,specimens_resized/883_S.JPG,specimens_resized_panel/883_S.JPG
884,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1891,February,65a,H.L. Roberts & Co.,Albumen silver print,specimens_resized/884_S.JPG,specimens_resized_panel/884_S.JPG
885,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1891,February,97a,F. Gutekunst,Collotype,specimens_resized/885_S.JPG,specimens_resized_panel/885_S.JPG
886,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1891,March,129a,H.L. Roberts & Co.,Albumen silver print,specimens_resized/886_S.JPG,specimens_resized_panel/886_S.JPG
887,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1891,April,193a,H.L. Roberts & Co.,Albumen silver print,specimens_resized/887_S.JPG,specimens_resized_panel/887_S.JPG
888,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1891,April,225a,F. Gutekunst,Collotype,specimens_resized/888_S.JPG,specimens_resized_panel/888_S.JPG
889,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1891,May,257a,Fellows Photographic Co.,Albumen silver print,specimens_resized/889_S.JPG,specimens_resized_panel/889_S.JPG
890,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1891,May,289a,F. Gutekunst,Collotype,specimens_resized/890_S.JPG,specimens_resized_panel/890_S.JPG
891,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1891,June,322a,H.L. Roberts & Co.,Albumen silver print,specimens_resized/891_S.JPG,specimens_resized_panel/891_S.JPG
892,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1891,June,353a,F. Gutekunst,Collotype,specimens_resized/892_S.JPG,specimens_resized_panel/892_S.JPG
893,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1891,July,385a,Fellows Photographic Co.,Albumen silver print,specimens_resized/893_S.JPG,specimens_resized_panel/893_S.JPG
894,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1891,July,417a,F. Gutekunst,Collotype,specimens_resized/894_S.JPG,specimens_resized_panel/894_S.JPG
895,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1891,August,449a,Fellows Photographic Co.,Albumen silver print,specimens_resized/895_S.JPG,specimens_resized_panel/895_S.JPG
896,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1891,August,481a,F. Gutekunst,Collotype,specimens_resized/896_S.JPG,specimens_resized_panel/896_S.JPG
897,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1891,September,513a,Fellows Photographic Co.,Albumen silver print,specimens_resized/897_S.JPG,specimens_resized_panel/897_S.JPG
898,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1891,October,577a,Fellows Photographic Co.,Albumen silver print,specimens_resized/898_S.JPG,specimens_resized_panel/898_S.JPG
899,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1891,October,609a,F. Gutekunst,Collotype,specimens_resized/899_S.JPG,specimens_resized_panel/899_S.JPG
900,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1891,November,673a,F. Gutekunst,Collotype,specimens_resized/900_S.JPG,specimens_resized_panel/900_S.JPG
901,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1891,December,705a,Charles T. Fellows,Albumen silver print,specimens_resized/901_S.JPG,specimens_resized_panel/901_S.JPG
902,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1891,December,737a,F. Gutekunst,Collotype,specimens_resized/902_S.JPG,specimens_resized_panel/902_S.JPG
903,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1892,December,1b,F. Gutekunst,Collotype,specimens_resized/903_S.JPG,specimens_resized_panel/903_S.JPG
904,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1892,January,1a,Charles T. Fellows,Albumen silver print,specimens_resized/904_S.JPG,specimens_resized_panel/904_S.JPG
905,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1892,January,33a,F. Gutekunst,Collotype,specimens_resized/905_S.JPG,specimens_resized_panel/905_S.JPG
906,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1892,February,65a,Charles T. Fellows,Albumen silver print,specimens_resized/906_S.JPG,specimens_resized_panel/906_S.JPG
907,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1892,February,97a,Photogravure Co.,Photogravure,specimens_resized/907_S.JPG,specimens_resized_panel/907_S.JPG
908,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1892,March,129a,Charles T. Fellows,Albumen silver print,specimens_resized/908_S.JPG,specimens_resized_panel/908_S.JPG
909,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1892,April,193a,Charles T. Fellows,Albumen silver print,specimens_resized/909_S.JPG,specimens_resized_panel/909_S.JPG
910,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1892,April,225a,F. Gutekunst,Collotype,specimens_resized/910_S.JPG,specimens_resized_panel/910_S.JPG
911,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1892,May,257a,Charles T. Fellows,Albumen silver print,specimens_resized/911_S.JPG,specimens_resized_panel/911_S.JPG
912,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1892,May,289a,F. Gutekunst,Collotype,specimens_resized/912_S.JPG,specimens_resized_panel/912_S.JPG
913,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1892,June,321a,Charles T. Fellows,Albumen silver print,specimens_resized/913_S.JPG,specimens_resized_panel/913_S.JPG
914,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1892,June,353a,F. Gutekunst,Collotype,specimens_resized/914_S.JPG,specimens_resized_panel/914_S.JPG
915,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1892,July,385a,Charles T. Fellows,Albumen silver print,specimens_resized/915_S.JPG,specimens_resized_panel/915_S.JPG
916,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1892,July,417a,F. Gutekunst,Collotype,specimens_resized/916_S.JPG,specimens_resized_panel/916_S.JPG
917,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1892,August,449a,Fellows & Graves,Albumen silver print,specimens_resized/917_S.JPG,specimens_resized_panel/917_S.JPG
918,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1892,August,481a,F. Gutekunst,Collotype,specimens_resized/918_S.JPG,specimens_resized_panel/918_S.JPG
919,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1892,September,513a,Fellows & Graves,Albumen silver print,specimens_resized/919_S.JPG,specimens_resized_panel/919_S.JPG
920,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1892,October,561a,Fellows & Graves,Albumen silver print,specimens_resized/920_S.JPG,specimens_resized_panel/920_S.JPG
921,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1892,October,593a,F. Gutekunst,Collotype,specimens_resized/921_S.JPG,specimens_resized_panel/921_S.JPG
922,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1892,November,625a,Fellows & Graves,Albumen silver print,specimens_resized/922_S.JPG,specimens_resized_panel/922_S.JPG
923,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1892,November,657a,F. Gutekunst,Collotype,specimens_resized/923_S.JPG,specimens_resized_panel/923_S.JPG
924,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1892,December,689a,Fellows & Graves,Albumen silver print,specimens_resized/924_S.JPG,specimens_resized_panel/924_S.JPG
925,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1893,January,1a,NYPhotogravure Co.,Photogravure,specimens_resized/925_S.JPG,specimens_resized_panel/925_S.JPG
926,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1893,March,97a,F. Gutekunst,Collotype,specimens_resized/926_S.JPG,specimens_resized_panel/926_S.JPG
927,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1893,April,145a,Fellows & Graves,Albumen silver print,specimens_resized/927_S.JPG,specimens_resized_panel/927_S.JPG
928,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1893,May,193a,W. Kurtz,Halftone,specimens_resized/928_S.JPG,specimens_resized_panel/928_S.JPG
929,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1893,June,241a,C.H. Graves,Albumen silver print,specimens_resized/929_S.JPG,specimens_resized_panel/929_S.JPG
930,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1893,July,289a ,N.Y. Aristotype Co.,Collodion POP,specimens_resized/930_S.JPG,specimens_resized_panel/930_S.JPG
931,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1893,September,385a,C.H. Graves,Collodion POP,specimens_resized/931_S.JPG,specimens_resized_panel/931_S.JPG
932,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1893,November,481a,None,Albumen silver print,specimens_resized/932_S.JPG,specimens_resized_panel/932_S.JPG
933,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1893,December,529a,None,Collodion POP,specimens_resized/933_S.JPG,specimens_resized_panel/933_S.JPG
934,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1894,January,1a,None,Glossy collodio-chloride POP print,specimens_resized/934_S.JPG,specimens_resized_panel/934_S.JPG
935,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1894,February,49a,None,Gelatin POP,specimens_resized/935_S.JPG,specimens_resized_panel/935_S.JPG
936,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1894,March,97a,C.H. Graves,Albumen silver print,specimens_resized/936_S.JPG,specimens_resized_panel/936_S.JPG
937,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1894,April,145a,George J. Wolf & Co.,Collodion POP,specimens_resized/937_S.JPG,specimens_resized_panel/937_S.JPG
938,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1894,May,193a,C.H. Graves,Collodion POP,specimens_resized/938_S.JPG,specimens_resized_panel/938_S.JPG
939,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1894,June,241a,C.H. Graves,Collodion POP,specimens_resized/939_S.JPG,specimens_resized_panel/939_S.JPG
940,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1894,August,337a,None,Collodion POP,specimens_resized/940_S.JPG,specimens_resized_panel/940_S.JPG
941,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1894,September,385a,None,Gelatin POP,specimens_resized/941_S.JPG,specimens_resized_panel/941_S.JPG
942,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1894,October,433a,None,Collodion POP,specimens_resized/942_S.JPG,specimens_resized_panel/942_S.JPG
943,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1894,November,481a,None,Collodion POP,specimens_resized/943_S.JPG,specimens_resized_panel/943_S.JPG
944,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1894,December,529a,C.H. Graves,Albumen silver print,specimens_resized/944_S.JPG,specimens_resized_panel/944_S.JPG
945,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1894,December,560b,O.P. Scott,Gelatin POP,specimens_resized/945_S.JPG,specimens_resized_panel/945_S.JPG
946,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1895,January,1a,Arthur & Philbric,Collodion POP,specimens_resized/946_S.JPG,specimens_resized_panel/946_S.JPG
947,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1895,February,49a,None,Collodion POP,specimens_resized/947_S.JPG,specimens_resized_panel/947_S.JPG
948,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1895,February,81a,None,Gelatin POP,specimens_resized/948_S.JPG,specimens_resized_panel/948_S.JPG
949,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1895,March,97a,NY Photogravure Co.,Photogravure,specimens_resized/949_S.JPG,specimens_resized_panel/949_S.JPG
950,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1895,April,145a,None,Collodion POP,specimens_resized/950_S.JPG,specimens_resized_panel/950_S.JPG
951,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1895,April,152b,NY Photogravure Co.,Photogravure,specimens_resized/951_S.JPG,specimens_resized_panel/951_S.JPG
952,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1895,May,214b,James H. Smith,Kallitype,specimens_resized/952_S.JPG,specimens_resized_panel/952_S.JPG
953,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1895,May,224b,None,Collodion POP,specimens_resized/953_S.JPG,specimens_resized_panel/953_S.JPG
954,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1895,June,241a,NY Photogravure Co.,Photogravure,specimens_resized/954_S.JPG,specimens_resized_panel/954_S.JPG
955,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1895,June,256b ,None,Collodion POP,specimens_resized/955_S.JPG,specimens_resized_panel/955_S.JPG
956,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1895,August,337a,NY Photogravure Co.,Photogravure,specimens_resized/956_S.JPG,specimens_resized_panel/956_S.JPG
957,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1895,September,385a,NY  Photogravure Co.,Collotype,specimens_resized/957_S.JPG,specimens_resized_panel/957_S.JPG
958,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1895,October,461a,F. Gutekunst,Collotype,specimens_resized/958_S.JPG,specimens_resized_panel/958_S.JPG
959,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1895,November,481a,NYPhotogravure Co.,Photogravure,specimens_resized/959_S.JPG,specimens_resized_panel/959_S.JPG
960,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1895,November,488b,Normart & Probst,Salted paper print,specimens_resized/960_S.JPG,specimens_resized_panel/960_S.JPG
961,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1896,January,1a,F. Gutekunst,Collotype,specimens_resized/961_S.JPG,specimens_resized_panel/961_S.JPG
962,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1896,February,49a,None,Gelatin silver DOP,specimens_resized/962_S.JPG,specimens_resized_panel/962_S.JPG
963,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1896,February,64b,F. Gutekunst,Collotype,specimens_resized/963_S.JPG,specimens_resized_panel/963_S.JPG
964,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1896,March,97a,Photo Colortype Co.,Halftone,specimens_resized/964_S.JPG,specimens_resized_panel/964_S.JPG
965,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1896,March,104b,F. Gutekunst,Collotype,specimens_resized/965_S.JPG,specimens_resized_panel/965_S.JPG
966,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1896,April,160b,F. Gutekunst,Collotype,specimens_resized/966_S.JPG,specimens_resized_panel/966_S.JPG
967,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1896,April,184b,None,Gelatin silver DOP,specimens_resized/967_S.JPG,specimens_resized_panel/967_S.JPG
968,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1896,May,224b,None,Gelatin silver DOP,specimens_resized/968_S.JPG,specimens_resized_panel/968_S.JPG
969,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1896,June,241b,F. Gutekunst Co.,Collotype,specimens_resized/969_S.JPG,specimens_resized_panel/969_S.JPG
970,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1896,August,383,None,Gelatin silver DOP,specimens_resized/970_S.JPG,specimens_resized_panel/970_S.JPG
971,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1896,December,529a,None,Gelatin silver DOP,specimens_resized/971_S.JPG,specimens_resized_panel/971_S.JPG
972,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1896,December,544b,Photogravure & Color Co.,Photogravure,specimens_resized/972_S.JPG,specimens_resized_panel/972_S.JPG
973,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1897,January,1a ,None,Gelatin silver DOP,specimens_resized/973_S.JPG,specimens_resized_panel/973_S.JPG
974,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1897,February,49a,Frank Davies,Gelatin silver DOP,specimens_resized/974_S.JPG,specimens_resized_panel/974_S.JPG
975,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1897,March,97a,None,Gelatin silver DOP,specimens_resized/975_S.JPG,specimens_resized_panel/975_S.JPG
976,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1897,April,145a,None,Gelatin silver DOP,specimens_resized/976_S.JPG,specimens_resized_panel/976_S.JPG
977,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1897,May,193a,None,Photogravure,specimens_resized/977_S.JPG,specimens_resized_panel/977_S.JPG
978,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1897,June,241a,None,Gelatin silver DOP,specimens_resized/978_S.JPG,specimens_resized_panel/978_S.JPG
979,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1897,July,289a,Photogravure & Color Co. ,Photogravure,specimens_resized/979_S.JPG,specimens_resized_panel/979_S.JPG
980,TR 1. W3,Wilson's Photographic Magazine,Edward L. Wilson,1897,August,337a,None,Gelatin silver DOP,specimens_resized/980_S.JPG,specimens_resized_panel/980_S.JPG
